cstat_name,donation_name,eid,eid_cnt,output_filename
CIRCUIT CITY STORES INC,CIRCUIT CITY STORES INC,"[11378351, 27630628]",2,CIRCUIT_CITY_STORES_INC.csv
CIT GROUP INC,CIT GROUP INC,[6918677],1,CIT_GROUP_INC.csv
MEDALLION FINANCIAL CORP,MEDALLION FINANCIAL CORP,"[4446671, 1084781]",2,MEDALLION_FINANCIAL_CORP.csv
MECKLERMEDIA CORP,MECKLERMEDIA CORP,[5960289],1,MECKLERMEDIA_CORP.csv
ASTEC INDUSTRIES INC,ASTEC INDUSTRIES INC,[10684720],1,ASTEC_INDUSTRIES_INC.csv
MCKESSON CORP,MCKESSON CORP,[1675],1,MCKESSON_CORP.csv
MEAD CORP,MEAD CORP,"[1911485, 7652103, 7369748]",3,MEAD_CORP.csv
MDI INC,MDI INC,"[4537501, 10128946, 2592259, 7555696]",4,MDI_INC.csv
CITIZENS FINANCIAL GROUP INC,CITIZENS FINANCIAL GROUP INC,[43589049],1,CITIZENS_FINANCIAL_GROUP_INC.csv
MCMORAN EXPLORATION CO,MCMORAN EXPLORATION CO,"[39346052, 18927658, 24767803]",3,MCMORAN_EXPLORATION_CO.csv
SMITH-MIDLAND CORP,SMITH-MIDLAND CORP,[6286783],1,SMITHMIDLAND_CORP.csv
CITIZENS INC,CITIZENS INC,[8265684],1,CITIZENS_INC.csv
MATERION CORP,MATERION CORP,[16517848],1,MATERION_CORP.csv
CLEVELAND-CLIFFS INC,CLEVELAND-CLIFFS INC,[3749849],1,CLEVELANDCLIFFS_INC.csv
CINCINNATI BELL INC,CINCINNATI BELL INC,[2891470],1,CINCINNATI_BELL_INC.csv
MAGNA INTERNATIONAL INC,MAGNA INTERNATIONAL INC,[7768372],1,MAGNA_INTERNATIONAL_INC.csv
CNS INC,CNS INC,"[3352165, 8296975]",2,CNS_INC.csv
CNX GAS CORP,CNX GAS CORP,[5693839],1,CNX_GAS_CORP.csv
MALLON RESOURCES CORP,MALLON RESOURCES CORP,[6818080],1,MALLON_RESOURCES_CORP.csv
ARROW ELECTRONICS INC,ARROW ELECTRONICS INC,[1844193],1,ARROW_ELECTRONICS_INC.csv
SPR INC,SPR INC,"[2874779, 8254353]",2,SPR_INC.csv
MAIN STREET TRUST INC,MAIN STREET TRUST INC,"[3112040, 3259299]",2,MAIN_STREET_TRUST_INC.csv
MAGNA ENTERTAINMENT CORP,MAGNA ENTERTAINMENT CORP,[7618],1,MAGNA_ENTERTAINMENT_CORP.csv
MANOR CARE INC,MANOR CARE INC,"[40614959, 996803]",2,MANOR_CARE_INC.csv
MADISON SQUARE GARDEN CO,MADISON SQUARE GARDEN CO,[5386170],1,MADISON_SQUARE_GARDEN_CO.csv
SQUARE INC,SQUARE INC,"[658935, 31959594, 15653316, 32207258, 26391757, 42094960, 42590628]",7,SQUARE_INC.csv
MADISON GAS & ELECTRIC CO,MADISON GAS & ELECTRIC CO,[3539402],1,MADISON_GAS_ELECTRIC_CO.csv
COEUR MINING INC,COEUR MINING INC,[26354473],1,COEUR_MINING_INC.csv
ST JOE CO,ST JOE CO,[2452],1,ST_JOE_CO.csv
LYONDELL CHEMICAL CO,LYONDELL CHEMICAL CO,[38243966],1,LYONDELL_CHEMICAL_CO.csv
MANHATTAN SCIENTIFICS INC,MANHATTAN SCIENTIFICS INC,[8984680],1,MANHATTAN_SCIENTIFICS_INC.csv
SPIRE CORP,SPIRE CORP,[3294072],1,SPIRE_CORP.csv
MASIMO CORP,MASIMO CORP,[52109],1,MASIMO_CORP.csv
SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,[2434],1,SOUTHWEST_AIRLINES.csv
MASCO CORP,MASCO CORP,[1645],1,MASCO_CORP.csv
MARTIN MARIETTA MATERIALS,MARTIN MARIETTA MATERIALS,[1642],1,MARTIN_MARIETTA_MATERIALS.csv
SOUTHERN UNION CO,SOUTHERN UNION CO,"[11037676, 1037817, 8881189, 2960082, 13425527, 16115317, 8276232, 8275518]",8,SOUTHERN_UNION_CO.csv
MARTEK BIOSCIENCES CORP,MARTEK BIOSCIENCES CORP,[5041119],1,MARTEK_BIOSCIENCES_CORP.csv
SOUTHTRUST CORP,SOUTHTRUST CORP,[4602],1,SOUTHTRUST_CORP.csv
MARSHALL & ILSLEY CORP,MARSHALL & ILSLEY CORP,[1641],1,MARSHALL_ILSLEY_CORP.csv
SOUTHWEST WATER CO,SOUTHWEST WATER CO,[2422380],1,SOUTHWEST_WATER_CO.csv
CNA FINANCIAL CORP,CNA FINANCIAL CORP,"[2450351, 15908711]",2,CNA_FINANCIAL_CORP.csv
MARKWEST ENERGY PARTNERS LP,MARKWEST ENERGY PARTNERS LP,[18928641],1,MARKWEST_ENERGY_PARTNERS_LP.csv
SOUTHWESTERN ENERGY CO,SOUTHWESTERN ENERGY CO,"[2438, 24769169]",2,SOUTHWESTERN_ENERGY_CO.csv
SPECIALTY LABORATORIES INC,SPECIALTY LABORATORIES INC,[996801],1,SPECIALTY_LABORATORIES_INC.csv
MARKEL CORP,MARKEL CORP,[2381740],1,MARKEL_CORP.csv
ARTHUR J GALLAGHER & CO,ARTHUR J GALLAGHER & CO,[243],1,ARTHUR_J_GALLAGHER_CO.csv
CMI CORP,CMI CORP,[3554715],1,CMI_CORP.csv
SKYLINE CORP,SKYLINE CORP,[8106504],1,SKYLINE_CORP.csv
CIMAREX ENERGY CO,CIMAREX ENERGY CO,[8250262],1,CIMAREX_ENERGY_CO.csv
MISSISSIPPI CHEMICAL CORP,MISSISSIPPI CHEMICAL CORP,"[8270591, 8732702]",2,MISSISSIPPI_CHEMICAL_CORP.csv
SEPRACOR INC,SEPRACOR INC,"[15960082, 24781439]",2,SEPRACOR_INC.csv
MIDAS INC,MIDAS INC,[5358411],1,MIDAS_INC.csv
SEIBELS BRUCE GROUP INC,SEIBELS BRUCE GROUP INC,"[8483948, 1213201]",2,SEIBELS_BRUCE_GROUP_INC.csv
SEMCO ENERGY INC,SEMCO ENERGY INC,[24730007],1,SEMCO_ENERGY_INC.csv
SEMPRA ENERGY,SEMPRA ENERGY,[2344],1,SEMPRA_ENERGY.csv
SENECA FOODS CORP,SENECA FOODS CORP,"[3526100, 5451485, 3903060]",3,SENECA_FOODS_CORP.csv
MICRO GENERAL CORP,MICRO GENERAL CORP,[2319992],1,MICRO_GENERAL_CORP.csv
CHEFS INTERNATIONAL INC,CHEFS INTERNATIONAL INC,[6429506],1,CHEFS_INTERNATIONAL_INC.csv
SECURITY BANK CORP,SECURITY BANK CORP,[7144302],1,SECURITY_BANK_CORP.csv
SERVICE CORP INTERNATIONAL,SERVICE CORP INTERNATIONAL,[15900],1,SERVICE_CORP_INTERNATIONAL.csv
SERVICEMASTER CO,SERVICEMASTER CO,[2352],1,SERVICEMASTER_CO.csv
CHEMOURS CO,CHEMOURS CO,"[37501033, 43673318]",2,CHEMOURS_CO.csv
CHERRY CORP,CHERRY CORP,[3547253],1,CHERRY_CORP.csv
METROPOLITAN LIFE INSURANCE,METROPOLITAN LIFE INSURANCE,[1713],1,METROPOLITAN_LIFE_INSURANCE.csv
SEEBEYOND TECHNOLOGY CORP,SEEBEYOND TECHNOLOGY CORP,[1309342],1,SEEBEYOND_TECHNOLOGY_CORP.csv
SEARS ROEBUCK & CO,SEARS ROEBUCK & CO,[4498],1,SEARS_ROEBUCK_CO.csv
METHODE ELECTRONICS INC,METHODE ELECTRONICS INC,[3566412],1,METHODE_ELECTRONICS_INC.csv
MILLENNIUM PHARMACEUTICALS,MILLENNIUM PHARMACEUTICALS,"[18927957, 1732]",2,MILLENNIUM_PHARMACEUTICALS.csv
MILLS CORP,MILLS CORP,"[1291047, 1774738, 3265045]",3,MILLS_CORP.csv
SCIENTIFIC GAMES CORP,SCIENTIFIC GAMES CORP,[2327],1,SCIENTIFIC_GAMES_CORP.csv
CFS BANCORP INC,CFS BANCORP INC,[7037008],1,CFS_BANCORP_INC.csv
AVANTAIR INC,AVANTAIR INC,[741890],1,AVANTAIR_INC.csv
CH ENERGY GROUP INC,CH ENERGY GROUP INC,"[39731158, 6899368]",2,CH_ENERGY_GROUP_INC.csv
AVANGRID INC,AVANGRID INC,[41432097],1,AVANGRID_INC.csv
MIDLAND ENTERPRISES INC,MIDLAND ENTERPRISES INC,[2499921],1,MIDLAND_ENTERPRISES_INC.csv
MILESTONE PROPERTIES INC,MILESTONE PROPERTIES INC,"[181859, 43487668]",2,MILESTONE_PROPERTIES_INC.csv
SCOTTS MIRACLE-GRO CO,SCOTTS MIRACLE-GRO CO,[15833],1,SCOTTS_MIRACLEGRO_CO.csv
CHAMPION INTERNATIONAL CORP,CHAMPION INTERNATIONAL CORP,"[2142320, 2056528, 10047730, 7349568, 4543794, 1790382, 2392240, 4438590, 4708484, 8522231, 4373591, 10059401, 10060012, 10061256, 4641560, 6010709, 10048619, 10049090, 10056019]",19,CHAMPION_INTERNATIONAL_CORP.csv
MIDWAY GOLD CORP,MIDWAY GOLD CORP,[15751889],1,MIDWAY_GOLD_CORP.csv
AUTONATION INC,AUTONATION INC,[27068175],1,AUTONATION_INC.csv
MIDLAND STATES BANCORP,MIDLAND STATES BANCORP,[2659202],1,MIDLAND_STATES_BANCORP.csv
METRICOM INC,METRICOM INC,[2456161],1,METRICOM_INC.csv
SHAW INDUSTRIES INC,SHAW INDUSTRIES INC,"[7506965, 16873577]",2,SHAW_INDUSTRIES_INC.csv
ATG INC,ATG INC,"[2406083, 5014780]",2,ATG_INC.csv
SILVERSTAR HOLDINGS LTD,SILVERSTAR HOLDINGS LTD,[64182],1,SILVERSTAR_HOLDINGS_LTD.csv
CHOICEPOINT INC,CHOICEPOINT INC,"[1058379, 24571333]",2,CHOICEPOINT_INC.csv
MERCK & CO,MERCK & CO,[1702],1,MERCK_CO.csv
MERCANTILE BANKSHARES CORP,MERCANTILE BANKSHARES CORP,"[7752, 13420386, 13420391, 13420393, 13420398, 13420399, 13420404, 13420417, 13420426, 13420431, 13420437, 13420440, 13420442, 13420443, 13420418, 13420428, 13420432, 13420433, 13420435, 13420441, 13420400, 13420408, 13420411, 13420413, 13420414, 13420392, 13420410, 13420419, 13420422, 13420427, 13420439, 13420389, 13420394, 13420438, 13420385, 13420387, 13420388, 13420390, 13420395, 13420396, 13420397, 13420401, 13420402, 13420403, 13420405, 13420406, 13420407, 13420409, 13420412, 13420415, 13420416, 13420420, 13420421, 13420423, 13420424, 13420425, 13420429, 13420430, 13420434, 13420436]",60,MERCANTILE_BANKSHARES_CORP.csv
ATLANTIC BROADBAND FINANCE LLC,ATLANTIC BROADBAND FINANCE LLC,[762273],1,ATLANTIC_BROADBAND_FINANCE_LLC.csv
ATLANTIC BANCGROUP INC,ATLANTIC BANCGROUP INC,[1326887],1,ATLANTIC_BANCGROUP_INC.csv
ATLANTIC AMERICAN CORP,ATLANTIC AMERICAN CORP,[7070749],1,ATLANTIC_AMERICAN_CORP.csv
CHS INC,CHS INC,[3018564],1,CHS_INC.csv
CHIRON CORP,CHIRON CORP,[2348511],1,CHIRON_CORP.csv
CHUBB CORP,CHUBB CORP,[6271],1,CHUBB_CORP.csv
SIMON PROPERTY GROUP INC,SIMON PROPERTY GROUP INC,[40219986],1,SIMON_PROPERTY_GROUP_INC.csv
MELLON FINANCIAL CORP,MELLON FINANCIAL CORP,[6486846],1,MELLON_FINANCIAL_CORP.csv
MEDQUEST ASSOCIATES INC,MEDQUEST ASSOCIATES INC,[7284740],1,MEDQUEST_ASSOCIATES_INC.csv
CIGNA CORP,CIGNA CORP,[584],1,CIGNA_CORP.csv
SKILLED HEALTHCARE GROUP INC,SKILLED HEALTHCARE GROUP INC,[18928256],1,SKILLED_HEALTHCARE_GROUP_INC.csv
SILICON VALLEY GROUP INC,SILICON VALLEY GROUP INC,[2353073],1,SILICON_VALLEY_GROUP_INC.csv
MERCURY AIR GROUP INC,MERCURY AIR GROUP INC,[25147998],1,MERCURY_AIR_GROUP_INC.csv
SHERWIN-WILLIAMS CO,SHERWIN-WILLIAMS CO,"[2369, 38107144]",2,SHERWINWILLIAMS_CO.csv
MERITOR INC,MERITOR INC,[16062189],1,MERITOR_INC.csv
METAVANTE CORP,METAVANTE CORP,"[3705693, 2174795, 8568224]",3,METAVANTE_CORP.csv
CHEVRON CORP,CHEVRON CORP,[566],1,CHEVRON_CORP.csv
SHIRE PLC,SHIRE PLC,[4946483],1,SHIRE_PLC.csv
SI INTERNATIONAL INC,SI INTERNATIONAL INC,"[6033214, 41873766]",2,SI_INTERNATIONAL_INC.csv
ATRION CORP,ATRION CORP,[6638956],1,ATRION_CORP.csv
CHICOS FAS INC,CHICOS FAS INC,[684081],1,CHICOS_FAS_INC.csv
ATMEL CORP,ATMEL CORP,[2354680],1,ATMEL_CORP.csv
MERCURY GENERAL CORP,MERCURY GENERAL CORP,[1703],1,MERCURY_GENERAL_CORP.csv
MERITAGE HOMES CORP,MERITAGE HOMES CORP,"[684090, 1319515]",2,MERITAGE_HOMES_CORP.csv
MERISTAR HOSPITALITY CORP,MERISTAR HOSPITALITY CORP,[1223550],1,MERISTAR_HOSPITALITY_CORP.csv
SIERRA HEALTH SERVICES,SIERRA HEALTH SERVICES,[2382],1,SIERRA_HEALTH_SERVICES.csv
MERISEL INC,MERISEL INC,[2424058],1,MERISEL_INC.csv
ATLAS ENERGY INC,ATLAS ENERGY INC,[37002373],1,ATLAS_ENERGY_INC.csv
MEREDITH CORP,MEREDITH CORP,[7757],1,MEREDITH_CORP.csv
COGENTRIX ENERGY INC,COGENTRIX ENERGY INC,[6351282],1,COGENTRIX_ENERGY_INC.csv
LUNA INNOVATIONS INC,LUNA INNOVATIONS INC,[6309610],1,LUNA_INNOVATIONS_INC.csv
STAMPS.COM INC,STAMPS.COM INC,[18928053],1,STAMPSCOM_INC.csv
SYBRON CHEMICALS INC,SYBRON CHEMICALS INC,[6910432],1,SYBRON_CHEMICALS_INC.csv
CONOCO INC,CONOCO INC,[37220290],1,CONOCO_INC.csv
CONOCOPHILLIPS,CONOCOPHILLIPS,[668],1,CONOCOPHILLIPS.csv
KUSH BOTTLES INC,KUSH BOTTLES INC,[45168065],1,KUSH_BOTTLES_INC.csv
SYBASE INC,SYBASE INC,[53561],1,SYBASE_INC.csv
KUPPER PARKER COMMUNICATIONS,KUPPER PARKER COMMUNICATIONS,[4257429],1,KUPPER_PARKER_COMMUNICATIONS.csv
CONSOLIDATED TOMOKA LAND CO,CONSOLIDATED TOMOKA LAND CO,"[40615125, 340448]",2,CONSOLIDATED_TOMOKA_LAND_CO.csv
KROLL INC,KROLL INC,[5384333],1,KROLL_INC.csv
ANR PIPELINE CO,ANR PIPELINE CO,"[1909785, 420811, 20536246]",3,ANR_PIPELINE_CO.csv
SYMANTEC CORP,SYMANTEC CORP,[2539],1,SYMANTEC_CORP.csv
CONSTELLATION BRANDS,CONSTELLATION BRANDS,[673],1,CONSTELLATION_BRANDS.csv
KROGER CO,KROGER CO,[1470],1,KROGER_CO.csv
CONSUMERS ENERGY CO,CONSUMERS ENERGY CO,[1909964],1,CONSUMERS_ENERGY_CO.csv
KRAFT HEINZ CO,KRAFT HEINZ CO,[34394471],1,KRAFT_HEINZ_CO.csv
ANDEAVOR,ANDEAVOR,[44223906],1,ANDEAVOR.csv
L-1 IDENTITY SOLUTIONS INC,L-1 IDENTITY SOLUTIONS INC,"[27690258, 21777572]",2,L1_IDENTITY_SOLUTIONS_INC.csv
LACLEDE GAS CO,LACLEDE GAS CO,[13535],1,LACLEDE_GAS_CO.csv
KNIGHT CAPITAL GROUP INC,KNIGHT CAPITAL GROUP INC,[18927647],1,KNIGHT_CAPITAL_GROUP_INC.csv
SUREWEST COMMUNICATIONS,SUREWEST COMMUNICATIONS,[2521],1,SUREWEST_COMMUNICATIONS.csv
SUPERIOR GALLERIES INC,SUPERIOR GALLERIES INC,[1333505],1,SUPERIOR_GALLERIES_INC.csv
APACHE CORP,APACHE CORP,[212],1,APACHE_CORP.csv
SUPERVALU INC,SUPERVALU INC,"[41696689, 24767986, 3562084, 193433, 7600424, 4262191]",6,SUPERVALU_INC.csv
COMPUWARE CORP,COMPUWARE CORP,[1131363],1,COMPUWARE_CORP.csv
SUPREMA SPECIALTIES INC,SUPREMA SPECIALTIES INC,[2554725],1,SUPREMA_SPECIALTIES_INC.csv
COMSTOCK RESOURCES INC,COMSTOCK RESOURCES INC,[8233513],1,COMSTOCK_RESOURCES_INC.csv
SURGE COMPONENTS INC,SURGE COMPONENTS INC,[4572478],1,SURGE_COMPONENTS_INC.csv
CONDUENT INC,CONDUENT INC,[44247558],1,CONDUENT_INC.csv
CONCORDE CAREER COLLEGES INC,CONCORDE CAREER COLLEGES INC,[30003240],1,CONCORDE_CAREER_COLLEGES_INC.csv
SUSQUEHANNA BANCSHARES INC,SUSQUEHANNA BANCSHARES INC,"[5004112, 4799041]",2,SUSQUEHANNA_BANCSHARES_INC.csv
SVB FINANCIAL GROUP,SVB FINANCIAL GROUP,[414683],1,SVB_FINANCIAL_GROUP.csv
LAM RESEARCH CORP,LAM RESEARCH CORP,[13555],1,LAM_RESEARCH_CORP.csv
PLANTRONICS INC,PLANTRONICS INC,[2093215],1,PLANTRONICS_INC.csv
ANTHEM INC,ANTHEM INC,[10041],1,ANTHEM_INC.csv
KOPPERS INC,KOPPERS INC,[4797850],1,KOPPERS_INC.csv
KMC TELECOM HOLDINGS INC,KMC TELECOM HOLDINGS INC,[1958332],1,KMC_TELECOM_HOLDINGS_INC.csv
STANDARD FINANCIAL CORP,STANDARD FINANCIAL CORP,[4637462],1,STANDARD_FINANCIAL_CORP.csv
KENTUCKY POWER,KENTUCKY POWER,[9226904],1,KENTUCKY_POWER.csv
KFORCE INC,KFORCE INC,[7330743],1,KFORCE_INC.csv
AMTRUST FINANCIAL SERVICES,AMTRUST FINANCIAL SERVICES,[1652865],1,AMTRUST_FINANCIAL_SERVICES.csv
KEYCORP,KEYCORP,[1433],1,KEYCORP.csv
COPE INC,COPE INC,[8933949],1,COPE_INC.csv
KEY ENERGY SERVICES INC,KEY ENERGY SERVICES INC,[26357208],1,KEY_ENERGY_SERVICES_INC.csv
COREL CORP,COREL CORP,[5758530],1,COREL_CORP.csv
SYSCO CORP,SYSCO CORP,[596291],1,SYSCO_CORP.csv
CORELOGIC INC,CORELOGIC INC,[18928054],1,CORELOGIC_INC.csv
KELLWOOD CO,KELLWOOD CO,[4711401],1,KELLWOOD_CO.csv
KELLOGG CO,KELLOGG CO,[22892],1,KELLOGG_CO.csv
TARGA RESOURCES PARTNERS LP,TARGA RESOURCES PARTNERS LP,[15629946],1,TARGA_RESOURCES_PARTNERS_LP.csv
TARGET CORP,TARGET CORP,[9099],1,TARGET_CORP.csv
TASTY BAKING CO,TASTY BAKING CO,[5729040],1,TASTY_BAKING_CO.csv
SYSTEMAX INC,SYSTEMAX INC,[4589174],1,SYSTEMAX_INC.csv
AMYLIN PHARMACEUTICALS INC,AMYLIN PHARMACEUTICALS INC,"[24357399, 2861873]",2,AMYLIN_PHARMACEUTICALS_INC.csv
CONTINUCARE CORP,CONTINUCARE CORP,[1800200],1,CONTINUCARE_CORP.csv
KINDRED HEALTHCARE INC,KINDRED HEALTHCARE INC,"[39029948, 27635751]",2,KINDRED_HEALTHCARE_INC.csv
ANCHOR GLASS CONTAINER CORP,ANCHOR GLASS CONTAINER CORP,[5949811],1,ANCHOR_GLASS_CONTAINER_CORP.csv
ANCHOR GAMING,ANCHOR GAMING,[2020834],1,ANCHOR_GAMING.csv
SYNACOR INC,SYNACOR INC,[5405600],1,SYNACOR_INC.csv
ANC RENTAL CORP,ANC RENTAL CORP,[1798917],1,ANC_RENTAL_CORP.csv
KIT MANUFACTURING,KIT MANUFACTURING,[8104443],1,KIT_MANUFACTURING.csv
KING PHARMACEUTICALS INC,KING PHARMACEUTICALS INC,[37299421],1,KING_PHARMACEUTICALS_INC.csv
SYNOVUS FINANCIAL CORP,SYNOVUS FINANCIAL CORP,[2545],1,SYNOVUS_FINANCIAL_CORP.csv
CON-WAY INC,CON-WAY INC,"[18926854, 19254076, 24782268, 23391039]",4,CONWAY_INC.csv
SYNTEL INC,SYNTEL INC,[8574207],1,SYNTEL_INC.csv
ANALEX CORP,ANALEX CORP,"[5919581, 6799391]",2,ANALEX_CORP.csv
CONVERGENT COMMUNICATIONS,CONVERGENT COMMUNICATIONS,"[3790248, 6858390]",2,CONVERGENT_COMMUNICATIONS.csv
CONVERGENT GROUP CORP,CONVERGENT GROUP CORP,[6817966],1,CONVERGENT_GROUP_CORP.csv
KIMMINS CORP,KIMMINS CORP,[13446],1,KIMMINS_CORP.csv
KIMCO REALTY CORP,KIMCO REALTY CORP,[5162462],1,KIMCO_REALTY_CORP.csv
COMPUTER HORIZONS CORP,COMPUTER HORIZONS CORP,[5504477],1,COMPUTER_HORIZONS_CORP.csv
COMPUSA INC,COMPUSA INC,[7552940],1,COMPUSA_INC.csv
LAYNE CHRISTENSEN CO,LAYNE CHRISTENSEN CO,[194211],1,LAYNE_CHRISTENSEN_CO.csv
STEPAN CO,STEPAN CO,[4623],1,STEPAN_CO.csv
LMI AEROSPACE INC,LMI AEROSPACE INC,[3924277],1,LMI_AEROSPACE_INC.csv
COMBIMATRIX CORP,COMBIMATRIX CORP,[3029307],1,COMBIMATRIX_CORP.csv
LKQ CORP,LKQ CORP,[2610991],1,LKQ_CORP.csv
COMCAST CORP,COMCAST CORP,[38773107],1,COMCAST_CORP.csv
LITTON INDUSTRIES INC,LITTON INDUSTRIES INC,[2526880],1,LITTON_INDUSTRIES_INC.csv
COMERICA INC,COMERICA INC,"[22244965, 22278757, 11454284]",3,COMERICA_INC.csv
ARCONIC INC,ARCONIC INC,"[44439329, 44891415, 44438547]",3,ARCONIC_INC.csv
COLUMBIA ENERGY GROUP,COLUMBIA ENERGY GROUP,"[3680097, 8655081, 8660104]",3,COLUMBIA_ENERGY_GROUP.csv
ARCHON CORP,ARCHON CORP,[10082],1,ARCHON_CORP.csv
STERICYCLE INC,STERICYCLE INC,[3976373],1,STERICYCLE_INC.csv
STERLING CAPITAL CORP,STERLING CAPITAL CORP,[6306292],1,STERLING_CAPITAL_CORP.csv
COMMERCE BANCSHARES INC,COMMERCE BANCSHARES INC,"[16868301, 8983188]",2,COMMERCE_BANCSHARES_INC.csv
LIMONEIRA CO,LIMONEIRA CO,[485890],1,LIMONEIRA_CO.csv
ARCELORMITTAL,ARCELORMITTAL,[10076],1,ARCELORMITTAL.csv
STATION CASINOS INC,STATION CASINOS INC,[24575218],1,STATION_CASINOS_INC.csv
LOGILITY INC,LOGILITY INC,[6850212],1,LOGILITY_INC.csv
SUNRUN INC,SUNRUN INC,[301810],1,SUNRUN_INC.csv
COLLEGIATE FUNDING SERVICES,COLLEGIATE FUNDING SERVICES,"[2141944, 8526856]",2,COLLEGIATE_FUNDING_SERVICES.csv
STANDARD MANAGEMENT CORP,STANDARD MANAGEMENT CORP,[7249499],1,STANDARD_MANAGEMENT_CORP.csv
ARK RESTAURANTS CORP,ARK RESTAURANTS CORP,[5451225],1,ARK_RESTAURANTS_CORP.csv
LTV CORP,LTV CORP,[10221793],1,LTV_CORP.csv
LONGVIEW FIBRE CO,LONGVIEW FIBRE CO,[7566],1,LONGVIEW_FIBRE_CO.csv
COLLECTIVE BRANDS INC,COLLECTIVE BRANDS INC,"[41693482, 18927458]",2,COLLECTIVE_BRANDS_INC.csv
COLLECTORS UNIVERSE INC,COLLECTORS UNIVERSE INC,[1333174],1,COLLECTORS_UNIVERSE_INC.csv
COLLINS INDUSTRIES INC,COLLINS INDUSTRIES INC,"[6840017, 8994974]",2,COLLINS_INDUSTRIES_INC.csv
STARTECH ENVIRONMENTAL CORP,STARTECH ENVIRONMENTAL CORP,[7917725],1,STARTECH_ENVIRONMENTAL_CORP.csv
COLOMBO BANK,COLOMBO BANK,[26742846],1,COLOMBO_BANK.csv
COLONIAL BANCGROUP,COLONIAL BANCGROUP,[635],1,COLONIAL_BANCGROUP.csv
ARGOSY GAMING CO,ARGOSY GAMING CO,"[2957914, 4461535]",2,ARGOSY_GAMING_CO.csv
COLONIAL PROPERTIES TRUST,COLONIAL PROPERTIES TRUST,[6331],1,COLONIAL_PROPERTIES_TRUST.csv
COLORADO INTERSTATE GAS CO,COLORADO INTERSTATE GAS CO,"[5060858, 9110317]",2,COLORADO_INTERSTATE_GAS_CO.csv
LONG ISLAND FINANCIAL CORP,LONG ISLAND FINANCIAL CORP,[5484938],1,LONG_ISLAND_FINANCIAL_CORP.csv
LIFEWAY FOODS INC,LIFEWAY FOODS INC,[3186518],1,LIFEWAY_FOODS_INC.csv
LIFELOCK INC,LIFELOCK INC,[6971902],1,LIFELOCK_INC.csv
STERLING MINING CO,STERLING MINING CO,[7947816],1,STERLING_MINING_CO.csv
APPLE INC,APPLE INC,"[10060, 43719288]",2,APPLE_INC.csv
LEGATO SYSTEMS INC,LEGATO SYSTEMS INC,[2254216],1,LEGATO_SYSTEMS_INC.csv
SUN MICROSYSTEMS INC,SUN MICROSYSTEMS INC,[2031182],1,SUN_MICROSYSTEMS_INC.csv
SUNAIR SERVICES CORP,SUNAIR SERVICES CORP,[85405],1,SUNAIR_SERVICES_CORP.csv
APPLIED MATERIALS INC,APPLIED MATERIALS INC,[19827482],1,APPLIED_MATERIALS_INC.csv
COMMUNITY FIRST BANKSHARES,COMMUNITY FIRST BANKSHARES,[10020762],1,COMMUNITY_FIRST_BANKSHARES.csv
